"","bigram","n.x","nusers.x","nbigrams.x","unique_users.x","n.y","nusers.y","nbigrams.y","unique_users.y","usage.x","usage.y","ratio"
"578","news source",31,28,5406079,548,6,6,6162567,599,3.13245636427863e-07,1.32741769798766e-08,23.5981211417278
"120","planned parenthood",76,38,5406079,548,15,9,6162567,599,1.01366017908715e-06,4.33442513628624e-08,23.3862657034067
"1831","differing opinion",13,11,5406079,548,2,2,6162567,599,5.67082617671132e-08,2.43811413916101e-09,23.2590676770478
"1905","racist nazi",13,11,5406079,548,2,2,6162567,599,5.67082617671132e-08,2.43811413916101e-09,23.2590676770478
"1915","socialist communist",13,11,5406079,548,2,2,6162567,599,5.67082617671132e-08,2.43811413916101e-09,23.2590676770478
"1919","special forces",13,11,5406079,548,2,2,6162567,599,5.67082617671132e-08,2.43811413916101e-09,23.2590676770478
"277","pro trump",48,37,5406079,548,9,9,6162567,599,6.28516567918838e-07,2.7090157101789e-08,23.2009200078552
"169","white nationalists",64,27,5406079,548,10,8,6162567,599,6.14339502477059e-07,2.68192555307711e-08,22.9066575607289
"756","physical violence",26,16,5406079,548,4,4,6162567,599,1.54935072328006e-07,6.77253927544725e-09,22.8769544223535
"841","race baiting",24,17,5406079,548,4,4,6162567,599,1.51897129733339e-07,6.77253927544725e-09,22.4283866885819
"1261","police shootings",18,14,5406079,548,3,3,6162567,599,9.62015154977813e-08,4.33442513628624e-09,22.1947576605758
"1267","prison reform",18,14,5406079,548,3,3,6162567,599,9.62015154977813e-08,4.33442513628624e-09,22.1947576605758
"1992","election night",12,11,5406079,548,2,2,6162567,599,5.26576716408908e-08,2.43811413916101e-09,21.5977057001159
"2006","government funding",12,11,5406079,548,2,2,6162567,599,5.26576716408908e-08,2.43811413916101e-09,21.5977057001159
"936","gdp growth",22,14,5406079,548,4,3,6162567,599,1.16454466128893e-07,5.4180314203578e-09,21.4938705765576
"116","mainstream media",77,50,5406079,548,17,12,6162567,599,1.34277062684272e-06,6.33909676181862e-08,21.1823652058829
"289","ocasio cortez",47,16,5406079,548,11,3,6162567,599,2.75440128583121e-07,1.30032754088587e-08,21.1823652058829
"1134","bike lock",19,16,5406079,548,4,3,6162567,599,1.14766720242967e-07,5.4180314203578e-09,21.1823652058829
"667","detention centers",28,20,5406079,548,5,5,6162567,599,2.05567448905785e-07,9.75245655664404e-09,21.0785300823246
"427","leap forward",38,12,5406079,548,5,4,6162567,599,1.71137432832895e-07,8.1270471305367e-09,21.057763057613
"1360","magic wand",17,14,5406079,548,3,3,6162567,599,9.11382778400033e-08,4.33442513628624e-09,21.0266125205455
"26","hate speech",165,90,5406079,548,40,21,6162567,599,5.09901787055959e-06,2.44353217058137e-07,20.8674063388592
"816","elected president",24,23,5406079,548,5,5,6162567,599,2.02529506311119e-07,9.75245655664404e-09,20.7670247116499
"508","public forum",34,16,5406079,548,5,5,6162567,599,2.00841760425193e-07,9.75245655664404e-09,20.5939661723861
"869","communist country",23,16,5406079,548,4,4,6162567,599,1.37720064291561e-07,6.77253927544725e-09,20.3350705976476
"514","usa usa",34,12,5406079,548,6,3,6162567,599,1.53584875619265e-07,7.58524398850092e-09,20.2478490938586
"1295","uncle tom",18,16,5406079,548,4,3,6162567,599,1.09028384230819e-07,5.4180314203578e-09,20.1232469455887
"827","liberal media",24,15,5406079,548,4,4,6162567,599,1.35019670874079e-07,6.77253927544725e-09,19.9363437231839
"2138","socialist party",11,11,5406079,548,2,2,6162567,599,4.86070815146684e-08,2.43811413916101e-09,19.9363437231839
"2148","total failure",11,11,5406079,548,2,2,6162567,599,4.86070815146684e-08,2.43811413916101e-09,19.9363437231839
"548","immigration laws",32,26,5406079,548,7,6,6162567,599,3.00756316872011e-07,1.51704879770018e-08,19.8250918050857
